stock_index,stock_name,buy_num,buy_shou,sale_num,sale_shou,buy_sale_diff,buy_sale_diff_shou
601777,力帆股份,230,5580,210.0,5032.0,20.0,548.0
600635,大众公用,224,5365,206.0,4948.0,18.0,417.0
601595,上海电影,224,1467,208.0,1419.0,16.0,48.0
851,高鸿股份,260,3385,246.0,3210.0,14.0,175.0
601118,海南橡胶,332,6411,322.0,6180.0,10.0,231.0
505,京粮控股,247,3069,238.0,3001.0,9.0,68.0
2093,国脉科技,233,2595,224.0,2546.0,9.0,49.0
2299,圣农发展,783,3193,776.0,3142.0,7.0,51.0
2466,天齐锂业,204,1255,203.0,1252.0,1.0,3.0
2797,第一创业,254,3741,256.0,3754.0,-2.0,-13.0
975,银泰黄金,459,2897,468.0,2979.0,-9.0,-82.0
672,上峰水泥,201,806,214.0,843.0,-13.0,-37.0
2138,顺络电子,200,967,213.0,1024.0,-13.0,-57.0
2897,意华股份,228,735,244.0,788.0,-16.0,-53.0
709,河钢股份,201,10030,219.0,10933.0,-18.0,-903.0
600511,国药股份,268,941,286.0,1005.0,-18.0,-64.0
600763,通策医疗,294,218,313.0,234.0,-19.0,-16.0
600126,杭钢股份,6480,76021,6505.0,76888.0,-25.0,-867.0
600993,马应龙,254,1522,292.0,1705.0,-38.0,-183.0
2171,楚江新材,203,2602,241.0,3055.0,-38.0,-453.0
600829,人民同泰,216,3030,255.0,3514.0,-39.0,-484.0
603439,贵州三力,456,1428,495.0,1621.0,-39.0,-193.0
898,鞍钢股份,208,8336,247.0,9958.0,-39.0,-1622.0
600958,东方证券,247,2688,287.0,3145.0,-40.0,-457.0
2236,大华股份,683,4197,731.0,4537.0,-48.0,-340.0
600004,白云机场,205,1370,260.0,1750.0,-55.0,-380.0
600872,中炬高新,200,401,265.0,531.0,-65.0,-130.0
601155,新城控股,374,1223,447.0,1462.0,-73.0,-239.0
600131,国网信通,257,1347,331.0,1752.0,-74.0,-405.0
2081,金 螳 螂,462,5883,537.0,6795.0,-75.0,-912.0
2926,华西证券,201,2052,286.0,2890.0,-85.0,-838.0
603866,桃李面包,563,1190,653.0,1402.0,-90.0,-212.0
2779,中坚科技,627,4147,719.0,4758.0,-92.0,-611.0
818,航锦科技,676,2854,777.0,3337.0,-101.0,-483.0
600522,中天科技,1799,15207,1905.0,16368.0,-106.0,-1161.0
600812,华北制药,418,5309,527.0,6767.0,-109.0,-1458.0
600566,济川药业,380,1810,491.0,2312.0,-111.0,-502.0
600239,云南城投,215,6003,351.0,10325.0,-136.0,-4322.0
600023,浙能电力,595,16807,733.0,20913.0,-138.0,-4106.0
600549,厦门钨业,221,1860,361.0,3088.0,-140.0,-1228.0
2402,和而泰,289,2098,429.0,3126.0,-140.0,-1028.0
2670,国盛金控,254,2986,413.0,4947.0,-159.0,-1961.0
600115,东方航空,249,6112,415.0,10186.0,-166.0,-4074.0
600895,张江高科,4261,27724,4434.0,29526.0,-173.0,-1802.0
2180,纳思达,295,1025,478.0,1628.0,-183.0,-603.0
2481,双塔食品,668,5005,852.0,6332.0,-184.0,-1327.0
600570,恒生电子,3306,3211,3496.0,3387.0,-190.0,-176.0
2237,恒邦股份,765,5529,962.0,7004.0,-197.0,-1475.0
796,凯撒旅业,791,8621,988.0,10886.0,-197.0,-2265.0
700,模塑科技,213,2849,411.0,5541.0,-198.0,-2692.0
600000,浦发银行,903,8793,1105.0,10820.0,-202.0,-2027.0
603533,XD掌阅科,299,1030,510.0,1692.0,-211.0,-662.0
2179,中航光电,214,627,449.0,1325.0,-235.0,-698.0
2022,科华生物,543,3518,779.0,4957.0,-236.0,-1439.0
601236,红塔证券,883,4402,1146.0,5752.0,-263.0,-1350.0
2745,木林森,455,3522,718.0,5629.0,-263.0,-2107.0
601088,中国神华,1356,8519,1622.0,10150.0,-266.0,-1631.0
2511,中顺洁柔,248,1324,514.0,2780.0,-266.0,-1456.0
2384,东山精密,812,3382,1093.0,4527.0,-281.0,-1145.0
2311,海大集团,368,790,651.0,1393.0,-283.0,-603.0
2389,航天彩虹,593,4717,879.0,7001.0,-286.0,-2284.0
2063,远光软件,233,1855,535.0,4279.0,-302.0,-2424.0
623,吉林敖东,249,1645,551.0,3632.0,-302.0,-1987.0
600658,电子城,443,7476,746.0,12841.0,-303.0,-5365.0
601985,中国核电,226,5533,540.0,13131.0,-314.0,-7598.0
600127,金健米业,468,4565,787.0,7473.0,-319.0,-2908.0
601600,中国铝业,251,9000,578.0,20900.0,-327.0,-11900.0
601688,华泰证券,2611,15131,2942.0,17052.0,-331.0,-1921.0
600298,安琪酵母,316,801,662.0,1668.0,-346.0,-867.0
2683,宏大爆破,951,2882,1299.0,4005.0,-348.0,-1123.0
2440,闰土股份,393,4451,745.0,8378.0,-352.0,-3927.0
2195,二三四五,303,10750,665.0,23502.0,-362.0,-12752.0
2127,南极电商,1113,6031,1476.0,8175.0,-363.0,-2144.0
601012,隆基股份,3210,10399,3574.0,11548.0,-364.0,-1149.0
2463,沪电股份,1320,5495,1692.0,7054.0,-372.0,-1559.0
600739,辽宁成大,253,1527,635.0,3823.0,-382.0,-2296.0
600808,马钢股份,246,10066,645.0,26439.0,-399.0,-16373.0
555,神州信息,287,2056,691.0,4907.0,-404.0,-2851.0
2694,顾地科技,623,21091,1032.0,34791.0,-409.0,-13700.0
2938,鹏鼎控股,203,500,615.0,1520.0,-412.0,-1020.0
2436,兴森科技,217,1794,647.0,5176.0,-430.0,-3382.0
2912,中新赛克,2786,1856,3229.0,2142.0,-443.0,-286.0
2036,联创电子,224,1621,673.0,4868.0,-449.0,-3247.0
998,隆平高科,802,4893,1256.0,7646.0,-454.0,-2753.0
