stock_index,stock_name,yeji_predict,_c3,stock_date
2607,中公教育,业绩大幅上升,净利润172000.00万元至182000.00万元_增长幅度为49.19%至57.86%,2020-01-23
2626,金达威,业绩大幅上升,净利润17042.99万元至23597.98万元_增长幅度为30%至80%,2020-03-28
2637,赞宇科技,业绩大幅上升,净利润10000万元至15000万元_增长幅度为128.08%至242.13%,2020-03-16
2637,赞宇科技,业绩大幅上升,净利润32000万元至40600万元_增长幅度为79.70%至127.99%,2020-01-16
2641,永高股份,业绩大幅上升,净利润48934.08万元至53827.49万元_增长幅度为100%至120%,2020-01-10
2653,海思科,业绩大幅上升,净利润50000.00万元至52000.00万元_增长幅度为50.05%至56.05%,2020-01-14
2661,克明面业,业绩大幅上升,净利润8563.58万元至11010.31万元_增长幅度为40%至80%,2020-03-04
2666,德联集团,业绩大幅上升,净利润20275.76万元至24620.57万元_增长幅度为40%至70%,2020-01-15
2701,奥瑞金,业绩大幅上升,净利润67000万元至78000万元_增长幅度为197.27%至246.08%,2020-01-06
2712,思美传媒,业绩大幅上升,净利润3300万元至4800万元_增长幅度为4.69%至52.28%,2020-01-23
2714,牧原股份,业绩大幅上升,净利润600000万元至640000万元_增长幅度为1053.38%至1130.28%,2020-01-15
2734,利民股份,业绩大幅上升,净利润14033.38万元至14858.87万元_增长幅度为70%至80%,2020-03-30
2746,仙坛股份,业绩大幅上升,净利润95000万元至105000万元_增长幅度为136.34%至161.22%,2020-01-16
2749,国光股份,业绩预盈,净利润19236.30万元至24631.86万元_增长幅度为-18.0%至5%,2020-01-20
2760,凤形股份,业绩大幅上升,净利润6000万元至7500万元_增长幅度为96.97%至146.21%,2020-01-17
2761,多喜爱,业绩预盈,净利润74000万元至90000万元_增长幅度为-9.75%至9.76%,2020-01-23
2782,可立克,业绩大幅上升,净利润3600万元至5300万元,2020-03-20
2793,东音股份,业绩大幅上升,净利润62000万元至65000万元_增长幅度为456.82%至483.77%,2020-01-17
2796,世嘉科技,业绩大幅上升,净利润9000万元至11400万元_增长幅度为85.15%至134.53%,2020-01-16
2803,吉宏股份,业绩大幅上升,净利润31990万元至33990万元_增长幅度为50.07%至59.45%,2020-01-20
2812,恩捷股份,业绩大幅上升,净利润77635.62万元至90574.89万元_增长幅度为49.75%至74.71%,2020-01-11
2824,和胜股份,业绩预盈,净利润1350万元至2000万元_增长幅度为-27.94%至6.76%,2020-01-20
2826,易明医药,业绩大幅上升,净利润3283.15万元至4040.80万元_增长幅度为30%至60%,2020-01-17
2829,星网宇达,业绩大幅上升,净利润900万元至1200万元_增长幅度为121.32%至195.09%,2020-03-26
2837,英维克,业绩大幅上升,净利润15091.21万元至17247.09万元_增长幅度为40%至60%,2020-01-20
2845,同兴达,业绩大幅上升,净利润1000万元至1500万元_增长幅度为89.61%至184.42%,2020-03-27
2846,英联股份,业绩大幅上升,净利润7300万元至8500万元_增长幅度为73.30%至101.79%,2020-01-15
2847,盐津铺子,业绩大幅上升,净利润12000万元至13000万元_增长幅度为70.18%至84.36%,2020-01-18
2859,洁美科技,业绩大幅上升,净利润3888.59万元至4772.36万元_增长幅度为120%至170%,2020-03-21
2869,金溢科技,业绩大幅上升,净利润80140万元至94230万元_增长幅度为3601.77%至4252.61%,2020-01-20
2895,川恒股份,业绩大幅上升,净利润16987.33万元至19303.78万元_增长幅度为120%至150%,2020-01-17
2909,集泰股份,业绩大幅上升,净利润7500.00万元至9000.00万元_增长幅度为300.17%至380.20%,2020-01-14
2912,中新赛克,业绩大幅上升,净利润26618.12万元至32760.77万元_增长幅度为30%至60%,2020-02-03
2916,深南电路,业绩大幅上升,净利润115046.65万元至128991.69万元_增长幅度为65%至85%,2020-01-11
2926,华西证券,业绩大幅上升,净利润136066万元至152124万元_增长幅度为61%至80%,2020-01-18
2928,华夏航空,业绩大幅上升,净利润47017.61万元至49492.22万元_增长幅度为90%至100%,2020-02-03
2967,广电计量,业绩大幅上升,净利润14500万元至18500万元_增长幅度为18.93%至51.73%,2020-01-17
2980,华盛昌,业绩大幅上升,净利润2900万元至3580万元_增长幅度为31.49%至62.32%,2020-03-23
300003,乐普医疗,业绩大幅上升,净利润168179.62万元至185241.32万元_增长幅度为38%至52%,2020-02-03
300019,硅宝科技,业绩大幅上升,净利润12700万元至14000万元_增长幅度为95%至115%,2020-01-09
300030,阳普医疗,业绩大幅上升,净利润992.51万元至1127.85万元_增长幅度为120%至150%,2020-03-07
300045,华力创通,业绩大幅上升,净利润2041.38万元至2245.52万元_增长幅度为100%至120%,2020-03-04
300058,蓝色光标,业绩大幅上升,净利润70000万元至75000万元_增长幅度为79.97%至92.82%,2020-01-15
300066,三川智慧,业绩大幅上升,净利润18093万元至21027万元_增长幅度为85%至115%,2020-01-13
300068,南都电源,业绩大幅上升,净利润36303.35万元至43564.01万元_增长幅度为50%至80%,2020-01-15
300092,科新机电,业绩大幅上升,净利润4388万元至4590万元_增长幅度为541.63%至571.18%,2020-01-16
300105,龙源技术,业绩大幅上升,净利润1200万元至1450万元_增长幅度为43.88%至73.85%,2020-01-13
300115,长盈精密,业绩大幅上升,净利润7352.70万元至8650.24万元_增长幅度为70%至100%,2020-03-16
300122,智飞生物,业绩大幅上升,净利润224961.81万元至253989.14万元_增长幅度为55%至75%,2020-01-03
300129,泰胜风能,业绩大幅上升,净利润15543.61万元至15849万元_增长幅度为1376%至1405%,2020-01-17
300140,中环装备,业绩大幅上升,净利润3817.58万元至4601.67万元_增长幅度为27.85%至54.11%,2020-02-03
300147,香雪制药,业绩大幅上升,净利润7901.50万元至9594.68万元_增长幅度为40%至70%,2020-01-20
300155,安居宝,业绩大幅上升,净利润6391万元至7209万元_增长幅度为134.31%至164.31%,2020-01-15
