stock_name,stock_index,gainian,gainian_list
华熙生物,688363,1,医疗美容
华测导航,300627,1,北斗导航
华林证券,2945,1,券商概念
华映科技,536,1,OLED
华西证券,2926,1,券商概念
华明装备,2270,1,昨日涨停
华昌化工,2274,1,化工原料
华宏科技,2645,1,垃圾分类
华安证券,600909,1,券商概念
华孚时尚,2042,1,贬值受益
华大基因,300676,1,基因测序
华夏航空,2928,1,高送转
华发股份,600325,1,粤港自贸
华友钴业,603799,1,小金属
华昌达,300278,1,工业4.0
双林股份,300100,1,无人驾驶
华谊集团,600623,1,预盈预增
华铁应急,603300,1,养老金
双塔食品,2481,1,人造肉
友阿股份,2277,1,长株潭
卫光生物,2880,1,生物疫苗
博闻科技,600883,1,壳资源
博通股份,600455,1,国产软件
博敏电子,603936,1,PCB
博实股份,2698,1,3D打印
博威合金,601137,1,富士康
华钰矿业,601020,1,黄金概念
南岭民爆,2096,1,长株潭
南华仪器,300417,1,传感器
南京证券,601990,1,券商概念
南京港,2040,1,一带一路
南京化纤,600889,1,IPO受益
协鑫能科,2015,1,美丽中国
华阳集团,2906,1,胎压监测
华阳国际,2949,1,粤港自贸
华铁股份,976,1,铁路基建
南国置业,2305,1,租售同权
国盛金控,2670,1,券商概念
国祯环保,300388,1,海绵城市
国科微,300672,1,超清视频
宝新能源,690,1,风能
宝利国际,300135,1,通用航空
宝光股份,600379,1,一带一路
宜安科技,300328,1,纾困概念
宏达高科,2144,1,医疗器械
宏盛股份,603090,1,贬值受益
宏润建设,2062,1,海绵城市
宏发股份,600885,1,太阳能
宝泰隆,601011,1,石墨烯
宏创控股,2379,1,大数据
安达维尔,300719,1,WiFi
安车检测,300572,1,基金重仓
安硕信息,300380,1,国产软件
安奈儿,2875,1,二胎概念
安博通,688168,1,网络安全
宇通客车,600066,1,新能源车
宇环数控,2903,1,富士康
宇晶股份,2943,1,稀土永磁
安道麦A,553,1,送转预期
宇信科技,300674,1,国产软件
宝莫股份,2476,1,页岩气
宝鼎科技,2552,1,军民融合
川环科技,300547,1,高送转
川投能源,600674,1,太阳能
川仪股份,603100,1,工业互联
峨眉山A,888,1,在线旅游
山鹰纸业,600567,1,皖江区域
山西路桥,755,1,昨日涨停
山煤国际,600546,1,HIT电池
