id,stock_index,stock_name,jijin_num,stock_date,day,jijin_date
2,000402,金融街,13,2020_02_20,2020_02_20,2019-12-31
1,600867,通化东宝,13,2020_02_20,2020_02_20,2019-12-31
1,600879,航天电子,13,2020_02_20,2020_02_20,2019-12-31
2,002233,塔牌集团,13,2020_02_20,2020_02_20,2019-12-31
2,002422,科伦药业,13,2020_02_20,2020_02_20,2019-12-31
2,300130,新国都,13,2020_02_20,2020_02_20,2019-12-31
2,002568,百润股份,13,2020_02_20,2020_02_20,2019-12-31
2,300308,中际旭创,13,2020_02_20,2020_02_20,2019-12-31
1,600926,杭州银行,13,2020_02_20,2020_02_20,2019-12-31
2,002869,金溢科技,13,2020_02_20,2020_02_20,2019-12-31
2,300502,新易盛,13,2020_02_20,2020_02_20,2019-12-31
2,002048,宁波华翔,12,2020_02_20,2020_02_20,2019-12-31
1,600079,人福医药,12,2020_02_20,2020_02_20,2019-12-31
1,600305,恒顺醋业,12,2020_02_20,2020_02_20,2019-12-31
2,002332,仙琚制药,12,2020_02_20,2020_02_20,2019-12-31
1,601677,明泰铝业,12,2020_02_20,2020_02_20,2019-12-31
2,002143,印纪传媒,12,2020_02_20,2020_02_20,2018-12-31
2,002242,九阳股份,12,2020_02_20,2020_02_20,2019-12-31
2,300010,立思辰,12,2020_02_20,2020_02_20,2019-12-31
2,300232,洲明科技,12,2020_02_20,2020_02_20,2019-12-31
2,002832,比音勒芬,12,2020_02_20,2020_02_20,2019-12-31
2,300470,中密控股,12,2020_02_20,2020_02_20,2019-12-31
1,600933,爱柯迪,12,2020_02_20,2020_02_20,2019-12-31
1,600352,浙江龙盛,11,2020_02_20,2020_02_20,2019-12-31
2,000733,振华科技,11,2020_02_20,2020_02_20,2019-12-31
2,002019,亿帆医药,11,2020_02_20,2020_02_20,2019-9-30
2,000603,盛达资源,11,2020_02_20,2020_02_20,2019-12-31
1,600873,梅花生物,11,2020_02_20,2020_02_20,2019-12-31
2,000501,鄂武商A,11,2020_02_20,2020_02_20,2019-12-31
2,002100,天康生物,11,2020_02_20,2020_02_20,2019-12-31
2,002216,三全食品,11,2020_02_20,2020_02_20,2019-12-31
2,002368,太极股份,11,2020_02_20,2020_02_20,2019-12-31
2,300054,鼎龙股份,11,2020_02_20,2020_02_20,2019-12-31
2,002541,鸿路钢构,11,2020_02_20,2020_02_20,2019-12-31
2,300326,凯利泰,11,2020_02_20,2020_02_20,2019-12-31
1,601117,中国化学,11,2020_02_20,2020_02_20,2019-12-31
2,300369,绿盟科技,11,2020_02_20,2020_02_20,2019-12-31
1,603005,晶方科技,11,2020_02_20,2020_02_20,2019-12-31
2,300596,利安隆,11,2020_02_20,2020_02_20,2019-12-31
2,300523,辰安科技,11,2020_02_20,2020_02_20,2019-12-31
1,601985,中国核电,11,2020_02_20,2020_02_20,2019-12-31
1,603313,梦百合,11,2020_02_20,2020_02_20,2019-12-31
2,300573,兴齐眼药,11,2020_02_20,2020_02_20,2019-12-31
1,603960,克来机电,11,2020_02_20,2020_02_20,2019-12-31
2,300577,开润股份,11,2020_02_20,2020_02_20,2019-12-31
2,002918,蒙娜丽莎,11,2020_02_20,2020_02_20,2019-12-31
1,603103,横店影视,11,2020_02_20,2020_02_20,2019-12-31
2,002925,盈趣科技,11,2020_02_20,2020_02_20,2019-12-31
2,300759,康龙化成,11,2020_02_20,2020_02_20,2019-12-31
2,002970,锐明技术,11,2020_02_20,2020_02_20,2019-12-31
2,300788,中信出版,11,2020_02_20,2020_02_20,2019-12-31
1,688023,安恒信息,11,2020_02_20,2020_02_20,2019-12-31
2,000028,国药一致,10,2020_02_20,2020_02_20,2019-12-31
1,600597,光明乳业,10,2020_02_20,2020_02_20,2019-12-31
1,600489,中金黄金,10,2020_02_20,2020_02_20,2019-12-31
1,600131,岷江水电,10,2020_02_20,2020_02_20,2019-12-31
1,600027,华电国际,10,2020_02_20,2020_02_20,2019-12-31
1,600640,号百控股,10,2020_02_20,2020_02_20,2019-12-31
1,600114,东睦股份,10,2020_02_20,2020_02_20,2019-12-31
1,600323,瀚蓝环境,10,2020_02_20,2020_02_20,2019-12-31
1,600332,白云山,10,2020_02_20,2020_02_20,2019-12-31
2,002292,奥飞娱乐,10,2020_02_20,2020_02_20,2019-12-31
2,002212,南洋股份,10,2020_02_20,2020_02_20,2019-12-31
2,300274,阳光电源,10,2020_02_20,2020_02_20,2019-12-31
2,002709,天赐材料,10,2020_02_20,2020_02_20,2019-12-31
2,002697,红旗连锁,10,2020_02_20,2020_02_20,2019-12-31
2,002402,和而泰,10,2020_02_20,2020_02_20,2019-12-31
