stock_date,stock_index,kdjj
2020-08-03,603955,67.427
2020-08-03,600030,67.458
2020-08-03,603335,67.515
2020-08-03,600520,67.521
2020-08-03,600117,67.842
2020-08-03,600872,67.896
2020-08-03,600220,68.03
2020-08-03,600235,68.039
2020-08-03,601858,68.059
2020-08-03,600448,68.062
2020-08-03,600811,68.067
2020-08-03,603013,68.108
2020-08-03,600335,68.134
2020-08-03,603882,68.175
2020-08-03,603111,68.198
2020-08-03,600262,68.255
2020-08-03,600782,68.374
2020-08-03,600678,68.377
2020-08-03,600959,68.47
2020-08-03,601633,68.485
2020-08-03,603053,68.54
2020-08-03,601992,68.582
2020-08-03,600647,68.685
2020-08-03,600792,68.731
2020-08-03,600819,69.054
2020-08-03,600058,69.27
2020-08-03,603709,69.297
2020-08-03,601000,69.323
2020-08-03,603158,69.465
2020-08-03,600180,69.476
2020-08-03,600313,69.489
2020-08-03,601098,69.763
2020-08-03,600606,69.768
2020-08-03,600985,69.811
2020-08-03,603681,69.857
2020-08-03,600699,69.932
2020-08-03,603081,69.935
2020-08-03,603768,69.957
2020-08-03,600475,70.0
2020-08-03,600352,70.012
2020-08-03,601139,70.049
2020-08-03,603197,70.189
2020-08-03,600369,70.234
2020-08-03,603519,70.241
2020-08-03,600327,70.259
2020-08-03,600989,70.267
2020-08-03,600824,70.285
2020-08-03,601996,70.362
2020-08-03,600705,70.505
2020-08-03,601611,70.613
2020-08-03,601107,70.622
2020-08-03,600500,70.629
2020-08-03,603580,70.65
2020-08-03,600963,70.819
2020-08-03,603679,70.83
2020-08-03,600392,70.845
2020-08-03,600611,70.85
2020-08-03,600800,70.862
2020-08-03,600248,70.946
2020-08-03,600232,70.968
2020-08-03,600861,71.063
2020-08-03,600837,71.294
2020-08-03,600149,71.304
2020-08-03,600663,71.338
2020-08-03,603195,71.369
2020-08-03,600987,71.413
2020-08-03,603040,71.721
2020-08-03,601163,71.722
2020-08-03,603093,71.763
2020-08-03,600693,71.775
2020-08-03,600106,71.821
2020-08-03,603983,71.91
2020-08-03,603937,71.933
2020-08-03,603220,71.975
2020-08-03,603738,71.976
2020-08-03,600308,72.015
2020-08-03,600589,72.064
2020-08-03,603990,72.117
2020-08-03,600585,72.157
2020-08-03,600008,72.179
2020-08-03,600558,72.199
2020-08-03,600497,72.254
2020-08-03,600376,72.348
2020-08-03,603329,72.393
2020-08-03,603113,72.465
2020-08-03,601225,72.483
2020-08-03,600218,72.504
2020-08-03,601968,72.731
2020-08-03,603181,72.769
2020-08-03,600977,72.789
2020-08-03,601566,72.805
2020-08-03,603797,72.831
2020-08-03,600596,72.833
2020-08-03,603587,72.872
2020-08-03,603169,73.038
2020-08-03,600190,73.209
2020-08-03,600288,73.227
2020-08-03,603300,73.272
2020-08-03,600732,73.286
2020-08-03,603858,73.383
2020-08-03,603639,73.638
2020-08-03,603929,73.807
2020-08-03,603595,73.949
2020-08-03,600309,74.076
2020-08-03,600903,74.082
2020-08-03,600901,74.179
2020-08-03,600816,74.234
2020-08-03,603355,74.32
2020-08-03,600146,74.442
2020-08-03,600120,74.54
2020-08-03,600300,74.581
2020-08-03,600848,74.595
2020-08-03,600060,74.614
2020-08-03,603421,74.635
2020-08-03,601866,74.65
2020-08-03,600727,74.712
2020-08-03,603398,74.83
2020-08-03,600619,75.081
2020-08-03,600018,75.093
2020-08-03,603178,75.124
2020-08-03,600409,75.138
2020-08-03,600855,75.237
2020-08-03,600864,75.365
2020-08-03,600734,75.499
2020-08-03,603810,75.634
2020-08-03,600827,75.69
2020-08-03,600455,75.734
2020-08-03,600526,75.777
2020-08-03,603337,75.868
2020-08-03,601579,75.903
2020-08-03,600644,76.051
2020-08-03,603900,76.127
2020-08-03,603028,76.132
2020-08-03,600152,76.174
2020-08-03,603166,76.209
2020-08-03,603698,76.291
2020-08-03,600171,76.336
2020-08-03,601636,76.388
2020-08-03,603356,76.422
2020-08-03,600740,76.464
2020-08-03,601877,76.545
2020-08-03,600730,76.789
2020-08-03,603109,76.879
2020-08-03,603357,76.897
2020-08-03,600660,76.927
2020-08-03,600996,76.957
2020-08-03,600801,77.175
2020-08-03,600508,77.251
2020-08-03,600490,77.283
2020-08-03,603602,77.383
2020-08-03,600238,77.425
2020-08-03,601008,77.512
2020-08-03,601015,77.562
2020-08-03,600319,77.691
2020-08-03,600493,77.697
2020-08-03,601799,77.765
2020-08-03,600651,77.932
2020-08-03,603663,77.936
2020-08-03,603387,78.015
2020-08-03,600461,78.056
2020-08-03,600302,78.068
2020-08-03,600176,78.088
2020-08-03,603129,78.117
2020-08-03,603920,78.143
2020-08-03,600362,78.231
2020-08-03,603665,78.239
2020-08-03,601975,78.396
2020-08-03,600183,78.435
2020-08-03,603790,78.445
2020-08-03,603997,78.481
2020-08-03,603236,78.528
2020-08-03,600256,78.564
2020-08-03,600103,78.666
2020-08-03,603139,78.706
2020-08-03,603959,78.711
2020-08-03,600251,78.732
2020-08-03,600867,78.773
2020-08-03,600054,78.789
2020-08-03,600162,78.88
2020-08-03,603000,78.889
2020-08-03,600463,78.893
2020-08-03,600654,78.898
2020-08-03,601011,78.916
2020-08-03,603359,78.951
2020-08-03,600100,79.019
2020-08-03,603022,79.096
2020-08-03,600990,79.101
2020-08-03,600112,79.202
2020-08-03,600666,79.275
2020-08-03,600410,79.329
2020-08-03,601616,79.337
2020-08-03,600075,79.358
2020-08-03,600539,79.395
2020-08-03,601208,79.399
2020-08-03,600372,79.422
2020-08-03,603133,79.433
2020-08-03,603610,79.44
2020-08-03,600267,79.45
2020-08-03,600559,79.494
2020-08-03,600936,79.552
2020-08-03,601339,79.575
2020-08-03,600862,79.817
2020-08-03,600503,79.866
2020-08-03,600856,79.888
2020-08-03,600876,79.895
2020-08-03,603229,79.91
2020-08-03,600408,79.952
2020-08-03,600775,79.963
2020-08-03,600776,80.021
2020-08-03,603002,80.075
2020-08-03,600429,80.09
2020-08-03,600992,80.316
2020-08-03,600428,80.385
2020-08-03,601969,80.434
2020-08-03,600839,80.575
2020-08-03,601801,80.576
2020-08-03,601168,80.626
2020-08-03,600983,80.687
2020-08-03,603378,80.718
2020-08-03,603966,80.753
2020-08-03,600089,80.829
2020-08-03,603799,80.928
2020-08-03,600247,81.048
2020-08-03,600623,81.178
2020-08-03,603316,81.203
2020-08-03,600626,81.22
2020-08-03,600714,81.302
2020-08-03,600101,81.43
2020-08-03,600385,81.435
2020-08-03,603131,81.449
2020-08-03,603909,81.477
2020-08-03,603690,81.648
2020-08-03,603970,81.772
2020-08-03,600933,81.779
2020-08-03,603536,81.884
2020-08-03,600132,81.889
2020-08-03,600617,81.933
2020-08-03,600793,81.997
2020-08-03,603268,82.187
2020-08-03,603607,82.213
2020-08-03,603023,82.292
2020-08-03,603068,82.407
2020-08-03,600973,82.458
2020-08-03,600066,82.472
2020-08-03,600630,82.551
2020-08-03,600279,82.56
2020-08-03,603228,82.633
2020-08-03,603938,82.634
2020-08-03,600459,82.829
2020-08-03,603458,82.86
2020-08-03,603866,82.879
2020-08-03,600592,83.093
2020-08-03,600548,83.347
2020-08-03,600114,83.373
2020-08-03,600523,83.519
2020-08-03,600868,83.574
2020-08-03,603916,83.593
2020-08-03,600093,83.595
2020-08-03,603915,83.629
2020-08-03,603766,83.636
2020-08-03,600753,83.64
2020-08-03,601326,83.688
2020-08-03,600706,83.691
2020-08-03,603995,83.702
2020-08-03,603351,83.818
2020-08-03,600105,83.824
2020-08-03,600172,83.831
2020-08-03,600969,83.885
2020-08-03,600982,84.041
2020-08-03,603886,84.086
2020-08-03,603379,84.158
2020-08-03,600090,84.31
2020-08-03,600961,84.322
2020-08-03,601811,84.343
2020-08-03,600717,84.386
2020-08-03,603079,84.505
2020-08-03,603918,84.594
2020-08-03,600570,84.609
2020-08-03,603477,84.626
2020-08-03,600859,84.656
2020-08-03,603416,84.67
2020-08-03,603077,84.686
2020-08-03,600275,84.701
2020-08-03,603888,84.759
2020-08-03,603618,84.767
2020-08-03,600805,84.802
2020-08-03,600189,84.853
2020-08-03,601865,84.935
2020-08-03,603208,84.968
2020-08-03,600486,84.987
2020-08-03,601375,85.003
2020-08-03,601038,85.063
2020-08-03,603319,85.064
2020-08-03,600502,85.102
2020-08-03,603589,85.146
2020-08-03,600563,85.243
2020-08-03,600877,85.293
2020-08-03,600179,85.461
2020-08-03,603978,85.485
2020-08-03,601311,85.51
2020-08-03,600272,85.688
2020-08-03,603628,85.723
2020-08-03,601108,85.816
2020-08-03,600273,85.939
2020-08-03,603099,85.943
2020-08-03,600713,85.996
2020-08-03,600988,86.058
2020-08-03,600449,86.088
2020-08-03,600896,86.11
2020-08-03,603661,86.122
2020-08-03,603609,86.176
2020-08-03,600435,86.2
2020-08-03,600199,86.235
2020-08-03,600328,86.482
2020-08-03,603555,86.509
2020-08-03,600331,86.552
2020-08-03,603968,86.628
2020-08-03,601162,86.666
2020-08-03,601608,86.684
2020-08-03,600633,86.752
2020-08-03,603985,86.754
2020-08-03,603005,86.862
2020-08-03,603517,87.145
2020-08-03,603706,87.193
2020-08-03,600386,87.243
2020-08-03,600995,87.271
2020-08-03,600984,87.294
2020-08-03,603678,87.385
2020-08-03,600719,87.505
2020-08-03,600350,87.594
2020-08-03,600618,87.644
2020-08-03,601028,87.706
2020-08-03,601100,87.798
2020-08-03,600265,87.822
2020-08-03,600828,87.837
2020-08-03,603331,87.866
2020-08-03,600712,87.973
2020-08-03,600035,88.217
2020-08-03,600980,88.249
