id,stock_index,stock_name,jzcsyl,stock_date
1,603390,通达电气,0.1278,2020_02_22
2,300637,扬帆新材,0.1278,2020_02_22
2,300765,新诺威,0.1278,2020_02_22
1,603663,三祥新材,0.1277,2020_02_22
2,300661,圣邦股份,0.1276,2020_02_22
2,002468,申通快递,0.1276,2020_02_22
1,600580,卧龙电驱,0.1275,2020_02_22
2,300584,海辰药业,0.1275,2020_02_22
2,002838,道恩股份,0.1275,2020_02_22
2,000036,华联控股,0.1274,2020_02_22
2,000029,深深房A,0.1274,2020_02_22
1,601877,正泰电器,0.1274,2020_02_22
1,603887,城地股份,0.1271,2020_02_22
1,603279,景津环保,0.1271,2020_02_22
1,603708,家家悦,0.127,2020_02_22
2,000034,神州数码,0.127,2020_02_22
2,000517,荣安地产,0.1269,2020_02_22
2,300738,奥飞数据,0.1268,2020_02_22
1,603357,设计总院,0.1267,2020_02_22
2,002798,帝欧家居,0.1267,2020_02_22
1,603225,新凤鸣,0.1266,2020_02_22
1,601865,福莱特,0.1264,2020_02_22
2,002081,金螳螂,0.1261,2020_02_22
2,002847,盐津铺子,0.126,2020_02_22
2,002973,侨银环保,0.126,2020_02_22
1,688202,美迪西,0.1258,2020_02_22
1,603801,志邦家居,0.1257,2020_02_22
2,300303,聚飞光电,0.1256,2020_02_22
2,300012,华测检测,0.1254,2020_02_22
2,300723,一品红,0.1251,2020_02_22
1,603697,有友食品,0.125,2020_02_22
2,300763,锦浪科技,0.1249,2020_02_22
1,600970,中材国际,0.1249,2020_02_22
2,000042,中洲控股,0.1245,2020_02_22
1,603277,银都股份,0.1245,2020_02_22
2,300452,山河药辅,0.1244,2020_02_22
1,600829,人民同泰,0.1243,2020_02_22
1,600900,长江电力,0.1241,2020_02_22
1,603181,皇马科技,0.1241,2020_02_22
2,002179,中航光电,0.124,2020_02_22
2,000650,仁和药业,0.1239,2020_02_22
2,000828,东莞控股,0.1238,2020_02_22
2,000538,云南白药,0.1238,2020_02_22
2,002223,鱼跃医疗,0.1237,2020_02_22
2,300792,壹网壹创,0.1237,2020_02_22
2,002396,星网锐捷,0.1236,2020_02_22
1,600563,法拉电子,0.1236,2020_02_22
2,000968,蓝焰控股,0.1236,2020_02_22
2,000739,普洛药业,0.1235,2020_02_22
2,300759,康龙化成,0.1234,2020_02_22
1,603516,淳中科技,0.1233,2020_02_22
2,300251,光线传媒,0.1232,2020_02_22
2,300152,科融环境,0.1232,2020_02_22
1,600993,马应龙,0.1231,2020_02_22
1,601838,成都银行,0.123,2020_02_22
1,603883,老百姓,0.123,2020_02_22
2,300758,七彩化学,0.123,2020_02_22
2,002511,中顺洁柔,0.1228,2020_02_22
2,002701,奥瑞金,0.1227,2020_02_22
1,601155,新城控股,0.1227,2020_02_22
2,002478,常宝股份,0.1227,2020_02_22
2,300113,顺网科技,0.1225,2020_02_22
2,300114,中航电测,0.1225,2020_02_22
2,300406,九强生物,0.1225,2020_02_22
