DATE,MARKET,SCODE,SECNAME,RZYE,RQYL,RZRQYE,RQYE,RQMCL,RZRQYECZ,RZMRE,SZ,RZYEZB,RZMRE3D,RZMRE5D,RZMRE10D,RZCHE,RZCHE3D,RZCHE5D,RZCHE10D,RZJME,RZJME3D,RZJME5D,RZJME10D,RQMCL3D,RQMCL5D,RQMCL10D,RQCHL,RQCHL3D,RQCHL5D,RQCHL10D,RQJMG,RQJMG3D,RQJMG5D,RQJMG10D,SPJ,ZDF,RCHANGE3DCP,RCHANGE5DCP,RCHANGE10DCP,KCB,TRADE_MARKET_CODE,TRADE_MARKET
2020-12-09 00,融资融券_沪证,603369.0,今世缘,484396806.0,1212475.0,546184532.0,61787726.0,58250.0,422609080.0,30039620.0,63929320000.0,0.7577068,184658517.0,262766351.0,351461465.0,46005228.0,148989605.0,196283769.0,300337523.0,-15965608.0,35668912.0,66482582.0,51123942.0,180197.0,319797.0,530490.0,52600.0,209784.0,342284.0,811264.0,5650.0,-29587.0,-22487.0,-280774.0,50.96,-1.6216,0.3347,4.085,1.5342,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,601319.0,中国人保,1229416448.0,1519784.0,1239538209.44,10121761.44,135800.0,1219294686.56,60622817.0,37306436346.54,3.295454,216426836.0,627903987.0,1601302604.0,76690856.0,247925818.0,581071668.0,1346192208.0,-16068039.0,-31498982.0,46832319.0,255110396.0,182700.0,654100.0,1056174.0,90600.0,340200.0,490700.0,1173590.0,45200.0,-157500.0,163400.0,-117416.0,6.66,-1.6248,-5.5319,-5.2632,-0.4484,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,807.0,云铝股份,912565155.0,3421744.0,941068283.0,28503128.0,355600.0,884062027.0,107747305.0,21713733739.25,4.20270952,332958017.0,648202983.0,1446105890.0,123898822.0,385732880.0,789574489.0,1619345014.0,-16151517.0,-52774863.0,-141371506.0,-173239124.0,1300644.0,2962744.0,7686778.0,301300.0,2167700.0,5036388.0,11026011.0,54300.0,-867056.0,-2073644.0,-3339233.0,8.33,-1.8846,-6.5095,-13.3195,-5.9819,0.0,69001002001.0,深交所主板
2020-12-09 00,融资融券_深证,300066.0,三川智慧,334422437.0,77300.0,334811256.0,388819.0,0.0,334033618.0,8853521.0,5010132073.42,6.67492258,34355583.0,51906699.0,113461490.0,25042103.0,61065989.0,81008873.0,155312145.0,-16188582.0,-26710406.0,-29102174.0,-41850655.0,0.0,0.0,7300.0,0.0,2900.0,2900.0,2900.0,0.0,-2900.0,-2900.0,4400.0,5.03,-3.4549,-7.1956,-8.8768,-6.5056,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,930.0,中粮科技,564339897.0,348344.0,567391390.0,3051493.0,3900.0,561288404.0,18770509.0,8448241367.4,6.67996891,79735395.0,176096219.0,376123931.0,35108747.0,99387130.0,202398556.0,382818694.0,-16338238.0,-19651735.0,-26302337.0,-6694763.0,42800.0,209800.0,700657.0,9800.0,301391.0,1372702.0,2496364.0,-5900.0,-258591.0,-1162902.0,-1795707.0,8.76,-2.4499,-4.7826,-5.5016,1.0381,0.0,69001002001.0,深交所主板
2020-12-09 00,融资融券_沪证,688298.0,东方生物,361409358.0,536249.0,445713063.29,84303705.29,52887.0,277105652.71,31133628.0,4480485000.0,8.06629992,80838256.0,101861440.0,156634160.0,47555092.0,82654979.0,101583740.0,158078880.0,-16421464.0,-1816723.0,277700.0,-1444720.0,137220.0,208433.0,411106.0,97698.0,356419.0,501949.0,1248588.0,-44811.0,-219199.0,-293516.0,-837482.0,157.21,3.6868,9.9371,12.3972,12.7519,1.0,69001001006.0,上交所科创板
2020-12-09 00,融资融券_沪证,600827.0,百联股份,963414478.0,275464.0,966945926.48,3531448.48,31200.0,959883029.52,14927716.0,20569047974.4,4.68380685,49589561.0,97034647.0,258561722.0,31394245.0,75322903.0,127757747.0,295426223.0,-16466529.0,-25733342.0,-30723100.0,-36864501.0,72000.0,123800.0,515400.0,3900.0,260200.0,768133.0,1728695.0,27300.0,-188200.0,-644333.0,-1213295.0,12.82,-3.2453,-4.5421,-3.0257,-1.9128,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,603993.0,洛阳钼业,1518615121.0,22417105.0,1620164606.65,101549485.65,1207800.0,1417065635.35,95729405.0,80025949800.99,1.89765335,249259413.0,403141331.0,1033643999.0,112300671.0,306429147.0,462866650.0,1176582612.0,-16571266.0,-57169734.0,-59725319.0,-142938613.0,2560900.0,4060700.0,8132800.0,682700.0,2139000.0,4444800.0,8996200.0,525100.0,421900.0,-384100.0,-863400.0,4.53,0.8909,-2.7897,-2.5806,-2.1598,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,6.0,深振业Ａ,579604130.0,77300.0,580030826.0,426696.0,3000.0,579177434.0,4165937.0,7442660005.44,7.78759381,16323665.0,41593018.0,112644343.0,20759410.0,38708496.0,63546017.0,127358295.0,-16593473.0,-22384831.0,-21952999.0,-14713952.0,3100.0,83100.0,93200.0,0.0,100.0,90100.0,103800.0,3000.0,3000.0,-7000.0,-10600.0,5.52,-2.1277,-4.1667,-5.3173,-2.8169,0.0,69001002001.0,深交所主板
2020-12-09 00,融资融券_深证,300498.0,温氏股份,2251559786.0,2831552.0,2306463580.0,54903794.0,45900.0,2196655992.0,74753408.0,93789022480.37,2.40066452,281433443.0,386077721.0,699529385.0,91505047.0,297890136.0,417041623.0,727890492.0,-16751639.0,-16456693.0,-30963902.0,-28361107.0,205200.0,397700.0,462200.0,13200.0,482637.0,563137.0,1638210.0,32700.0,-277437.0,-165437.0,-1176010.0,19.39,-2.2681,-0.2059,-0.9198,1.3591,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_沪证,601236.0,红塔证券,655252692.0,286646.0,659922155.34,4669463.34,57653.0,650583228.66,17129069.0,24026448738.51,2.72721408,71685141.0,141629438.0,378242917.0,33888147.0,93076161.0,178716810.0,386832432.0,-16759078.0,-21391020.0,-37087372.0,-8589515.0,142153.0,252553.0,676453.0,103200.0,234601.0,426801.0,744701.0,-45547.0,-92448.0,-174248.0,-68248.0,16.29,-2.0445,-6.0012,-7.6531,-5.0699,0.0,69001001001.0,上交所主板
