dt,stock_index,rzmre,rzye,rqye,rzrqye,close
2019-12-12 00,601398,71563503,2473978645,27599642,2501578287,5.48
2019-12-13 00,601398,90804694,2436839656,24809496,2461649152,5.56
2019-12-16 00,601398,129184061,2486013705,30595852,2516609557,5.52
2019-12-17 00,601398,256780222,2556113810,25448384,2581562194,5.58
2019-12-18 00,601398,127365296,2548569392,29101112,2577670504,5.61
2019-12-19 00,601398,123947337,2547588445,28314564,2575903009,5.67
2019-12-20 00,601398,110087886,2509403420,26278560,2535681980,5.68
2019-12-23 00,601398,139503956,2568502024,27674220,2596176244,5.62
2019-12-24 00,601398,63290306,2556799902,7174984,2563974886,5.6
2019-12-25 00,601398,36937237,2530262821,25297536,2555560357,5.57
2019-12-26 00,601398,53802109,2494924364,25129438,2520053802,5.6
2019-12-27 00,601398,106647838,2480554904,26886300,2507441204,5.64
2019-12-30 00,601398,278309864,2600771053,25768161,2626539214,5.63
2019-12-31 00,601398,125609817,2586312777,26429424,2612742201,5.62
2020-01-02 00,601398,114031597,2483806978,32492919,2516299897,5.71
2020-01-03 00,601398,124768892,2420875024,32289095,2453164119,5.73
2020-01-06 00,601398,136945430,2405474774,35717913,2441192687,5.71
2020-01-07 00,601398,80392908,2392920512,28284863,2421205375,5.75
2020-01-08 00,601398,163097015,2506629594,24086796,2530716390,5.65
2020-01-09 00,601398,118261563,2530467564,24641745,2555109309,5.65
2020-01-10 00,601398,139319708,2612242632,32204772,2644447404,5.65
2020-01-13 00,601398,42895608,2529174695,21516412,2550691107,5.67
2020-01-14 00,601398,100041062,2532256795,13783770,2546040565,5.68
2020-01-15 00,601398,79022871,2526547968,14161356.72,2540709324.72,5.62
2020-01-16 00,601398,122812716,2487656988,21556245.2,2509213233.2,5.54
2020-01-17 00,601398,70994061,2468236850,23296843.08,2491533693.08,5.56
2020-01-20 00,601398,57214001,2437125008,20696924.96,2457821932.96,5.58
2020-01-21 00,601398,125262009,2479851941,19626620.38,2499478561.38,5.51
2020-01-22 00,601398,71896397,2440637017,19720126.26,2460357143.26,5.53
2020-01-23 00,601398,71998719,2437862213,19436525.68,2457298738.68,5.46
2020-02-03 00,601398,119649187,2486546027,18258321.48,2504804348.48,5.16
2020-02-04 00,601398,92542006,2492818090,18088917,2510907007,5.24
2020-02-05 00,601398,66322772,2509541484,18182298.06,2527723782.06,5.23
2020-02-06 00,601398,118214144,2569325304,2074050,2571399354,5.24
2020-02-07 00,601398,105020771,2586569876,2051424,2588621300,5.18
2020-02-10 00,601398,137876862,2618112535,2194558,2620307093,5.16
2020-02-11 00,601398,50433171,2563490012,4832100,2568322112,5.2
2020-02-12 00,601398,116776797,2577899375,15681666,2593581041,5.2
2020-02-13 00,601398,136685406,2603225048,4768374,2607993422,5.15
2020-02-14 00,601398,52614011,2573690062,16830828,2590520890,5.17
2020-02-17 00,601398,111389924,2575183930,4733478,2579917408,5.23
2020-02-18 00,601398,104481912,2600574946,15667977.78,2616242923.78,5.2
2020-02-19 00,601398,79063384,2526371022,5979776,2532350798,5.22
2020-02-20 00,601398,117286912,2542442297,10500958,2552943255,5.25
2020-02-21 00,601398,133733517,2547750179,9498798,2557248977,5.23
2020-02-24 00,601398,103363495,2583967806,9595191.68,2593562997.68,5.18
2020-02-25 00,601398,102049297,2589361522,7979209,2597340731,5.15
2020-02-26 00,601398,151242304,2616606424,5004250,2621610674,5.15
2020-02-27 00,601398,101984769,2613136469,9736200,2622872669,5.14
2020-02-28 00,601398,182741537,2644820340,5006380,2649826720,5.04
2020-03-02 00,601398,98106625,2667856373,4979440,2672835813,5.1
2020-03-03 00,601398,44013609,2574612835,11395378,2586008213,5.12
2020-03-04 00,601398,40862299,2566900912,5585118,2572486030,5.13
2020-03-05 00,601398,163532778,2608856682,6655740,2615512422,5.2
2020-03-06 00,601398,99300961,2602340787,5945590,2608286377,5.15
2020-03-09 00,601398,109717991,2598673768,8411571,2607085339,5.05
2020-03-10 00,601398,143957439,2593446366,8767352,2602213718,5.1
2020-03-11 00,601398,86166307,2564115218,5257224,2569372442,5.06
2020-03-12 00,601398,80039827,2524396733,11184647,2535581380,5.03
2020-03-13 00,601398,71919054,2519137051,5911650,2525048701,4.96
2020-03-16 00,601398,79942454,2500695437,15470708,2516166145,4.91
2020-03-17 00,601398,71703184,2491636599,7956630,2499593229,4.91
2020-03-18 00,601398,103727923,2519362148,6416627,2525778775,4.85
2020-03-19 00,601398,61307053,2482949507,13918607,2496868114,4.73
2020-03-20 00,601398,83416606,2508386436,15910052,2524296488,4.82
2020-03-23 00,601398,40568753,2507475582,9156650,2516632232,4.73
2020-03-24 00,601398,64653713,2520464251,16439808,2536904059,4.86
2020-03-25 00,601398,78114303,2515511087,14527828,2530038915,4.92
2020-03-26 00,601398,83953683,2532993485,15739430,2548732915,4.92
2020-03-27 00,601398,91709742,2524503881,9688516,2534192397,4.95
2020-03-30 00,601398,80492002,2541942357,12567150,2554509507,4.96
2020-03-31 00,601398,142049947,2516900739,8597925,2525498664,4.89
2020-04-01 00,601398,64900776,2517909373,9675516,2527584889,4.9
2020-04-02 00,601398,118408606,2580680454,9194085,2589874539,4.93
2020-04-03 00,601398,75657513,2567501111,7219130,2574720241,4.88
2020-04-07 00,601398,151541652,2617697166,14366472,2632063638,4.9
2020-04-08 00,601398,81676901,2639335319,8505672,2647840991,4.88
2020-04-09 00,601398,67780173,2648934235,13017375,2661951610,4.87
2020-04-10 00,601398,61438341,2599351545,7062531,2606414076,4.85
2020-04-13 00,601398,111715756,2654112633,12356790,2666469423,4.84
2020-04-14 00,601398,82230515,2660626502,6933504,2667560006,4.86
2020-04-15 00,601398,21871422,2635329957,7972020,2643301977,4.87
2020-04-16 00,601398,47729407,2635235194,7090176,2642325370,4.86
2020-04-17 00,601398,83760198,2656685793,12298200,2668983993,4.89
2020-04-20 00,601398,45582589,2649310166,5284864,2654595030,4.86
2020-04-21 00,601398,47534548,2647762945,5279136,2653042081,4.82
2020-04-22 00,601398,61923221,2662433421,4796816,2667230237,4.83
2020-04-23 00,601398,43176466,2663839036,14324271,2678163307,4.81
2020-04-24 00,601398,28242845,2631276005,5073230,2636349235,4.79
2020-04-27 00,601398,85378752,2639056302,7480773,2646537075,4.83
2020-04-28 00,601398,98560688,2621370365,13484268,2634854633,4.85
2020-04-29 00,601398,66437643,2601093473,7645175,2608738648,4.89
2020-04-30 00,601398,27843401,2570329989,4593028,2574923017,4.91
2020-05-06 00,601398,89524148,2612575189,5200447,2617775636,4.85
2020-05-07 00,601398,20606715,2614633932,6651420,2621285352,4.84
2020-05-08 00,601398,110569455,2620970294,5422830,2626393124,4.84
2020-05-11 00,601398,115481004,2648438238,6158681.18,2654596919.18,4.88
2020-05-12 00,601398,69984042,2611902035,4949937,2616851972,4.87
2020-05-13 00,601398,23640086,2619350743,4075785,2623426528,4.87
2020-05-14 00,601398,37913880,2617245575,2410260,2619655835,4.84
2020-05-15 00,601398,68635825,2634269540,1811531,2636081071,4.83
2020-05-18 00,601398,36480674,2641728580,5347860,2647076440,4.84
