天弘中证500指数增强A,1.44,36.59,7.47,6.98,1.19,牧原股份_南京高科_国睿科技_重庆啤酒_天邦股份_明阳智能_金域医学_华菱钢铁_长盈精密_韦尔股份_光迅科技_道恩股份_华创阳安_中科创达,603501_600064_300496_000932_002281_600562_600155_300115_002714_002838_603882_002124_601615_600132
天弘中证银行指数A,1.29,43.45,16.58,15.52,1.67,招商银行_浦发银行_工商银行_农业银行_兴业银行_上海银行_民生银行_交通银行_宁波银行_平安银行,601229_601398_600016_601328_002142_601288_600036_000001_601166_600000
申万菱信中证申万电子行业投资指数分级,0.76,27.85,8.83,8.37,0.9,立讯精密_TCL 集团_海康威视_闻泰科技_紫光国微_兆易创新_三安光电_亿纬锂能_歌尔股份_京东方Ａ,002475_000100_300014_603986_000725_600745_002241_002415_002049_600703
恒生前海沪深港通龙头指数C,9.11,62.41,41.58,40.06,6.33,美的集团_五 粮 液_贵州茅台_恒瑞医药,600519_600276_000333_000858
鹏华国证半导体芯片指数ETF,1.3,39.74,19.76,18.72,0.96,中科曙光_长电科技_闻泰科技_韦尔股份_北方华创_中环股份_紫光国微_华天科技_兆易创新_三安光电,603501_603986_600745_603019_600584_002129_002371_002185_002049_600703
国泰国证食品饮料行业指数分级B,3.51,3.83,20.06,18.96,1.69,五 粮 液_泸州老窖_顺鑫农业_山西汾酒_洋河股份_今世缘_伊利股份_贵州茅台_双汇发展_海天味业,600809_000568_600887_600519_603288_603369_002304_000860_000895_000858
易方达中证银行指数(LOF)A,1.39,NULL,16.45,14.27,2.58,招商银行_浦发银行_农业银行_工商银行_兴业银行_上海银行_民生银行_交通银行_宁波银行_平安银行,601229_600016_601398_601328_002142_601288_600036_000001_601166_600000
嘉实基本面50指数(LOF)C,2.16,33.7,19.86,16.29,2.34,中国平安_上汽集团_中国石化_招商银行_工商银行_兴业银行_万 科Ａ_民生银行_交通银行_中国建筑,600104_600028_601668_600016_601398_601328_000002_600036_601318_601166
宝盈中证100指数增强C,3.91,41.78,23.25,20.87,3.57,中国平安_招商银行_美的集团_中信证券_五 粮 液_立讯精密_格力电器_新城控股_海大集团_伊利股份_贵州茅台_智飞生物_恒瑞医药,600887_002311_600036_600519_600276_601318_000333_300122_000651_600030_601155_000858_002475
东吴中证新兴产业指数,0.96,31.3,10.54,9.9,1.24,比亚迪_中联重科_云南白药_恒生电子_长城汽车_中国巨石_长安汽车_亿纬锂能_药明康德_隆基股份,300014_000157_601633_600570_002594_603259_000625_000538_600176_601012
申万菱信沪深300价值指数C,2.39,35.01,22.3,18.26,3.2,中国平安_招商银行_工商银行_兴业银行_万 科Ａ_海螺水泥_长江电力_民生银行_交通银行_保利地产,601398_600016_600900_601328_600585_000002_600036_601318_600048_601166
华宝中证1000指数,1.24,41.79,8.17,7.73,1.06,捷佳伟创_安井食品_迈克生物_赤峰黄金_深深房Ａ_东华软件_圣邦股份_华大基因_光威复材_酒鬼酒_宏大爆破,002065_300463_300724_002683_603345_600988_000799_000029_300699_300661_300676
易方达中证银行指数(LOF)C,1.39,NULL,16.45,14.27,2.58,招商银行_浦发银行_农业银行_工商银行_兴业银行_上海银行_民生银行_交通银行_宁波银行_平安银行,601229_600016_601398_002142_601328_601288_600036_000001_601166_600000
浦银安盛沪深300指数增强,3.56,49.15,26.33,24.51,4.09,中国平安_招商银行_美的集团_五 粮 液_工商银行_三一重工_中国国旅_伊利股份_贵州茅台_恒瑞医药,601888_601398_600031_600887_600036_600519_600276_601318_000333_000858
申万菱信中证500指数增强C,1.31,37.29,11.31,53.61,0.61,三七互娱_立讯精密_金科股份_蓝光发展_明阳智能_中科创达_长春高新_中材科技_滨江集团,002244_300496_000661_002555_600466_002080_000656_601615_002475
嘉实中证500指数增强C,1.21,36.57,8.25,7.73,1.42,安琪酵母_信达地产_金发科技_宝信软件_国睿科技_鱼跃医疗_华泰证券_金域医学_韦尔股份_健康元_杭齿前进_扬农化工_博威合金_万孚生物_首创股份,603501_300482_600008_600298_601137_600562_600486_600143_002223_600845_603882_601688_600657_600380_601177
