bankuai,stock_date,zhangdiee
维生素,2020-12-24,-0.422
海峡西岸,2020-12-22,-0.282
黄河三角,2020-12-28,-0.059
金融改革,2021-01-12,0.023
内贸规划,2021-01-12,0.172
送转潜力,2021-01-05,0.137
智能电网,2021-01-06,-0.291
ST板块,2020-12-18,0.05
风能概念,2021-01-08,-0.042
5G概念,2021-01-13,-0.123
民营医院,2020-12-30,0.242
分拆上市,2020-12-31,0.323
油气改革,2020-12-17,0.095
文化振兴,2020-12-22,-0.097
固废处理,2020-12-28,-0.106
智能穿戴,2020-12-25,-0.268
分拆上市,2021-01-13,-0.336
金融参股,2020-12-30,0.032
固废处理,2020-12-31,0.071
智能家居,2020-12-31,0.124
机器人概念,2020-12-31,0.275
深圳本地,2020-12-24,-0.03
含GDR,2020-12-23,0.16
触摸屏,2020-12-23,0.334
智能穿戴,2021-01-04,0.3
超大盘,2021-01-04,-0.024
核电核能,2021-01-11,-0.274
京津冀,2021-01-11,-0.172
固废处理,2020-12-29,-0.084
信托重仓,2020-12-29,-0.058
光伏概念,2020-12-25,0.688
维生素,2020-12-25,0.112
智能机器,2021-01-05,-0.077
生物育种,2021-01-05,0.262
军民融合,2020-12-18,-0.123
基因概念,2020-12-30,0.274
奢侈品,2020-12-24,-0.654
水利建设,2020-12-23,-0.005
互联金融,2021-01-04,0.153
科创50,2020-12-17,0.837
