bankuai,top_stock_name,cnt,rank
节能环保,金晶科技,12,2
资产注入,兰州民百,12,5
基金重仓,长城汽车,12,2
皖江区域,融捷健康,12,3
黄金概念,ST冠福,12,4
黄金概念,*ST金钰,12,5
深圳本地,神州数码,12,2
京津冀,河钢资源,12,5
出口退税,*ST瀚叶,12,3
出口退税,株冶集团,12,4
氢能源,中材科技,12,5
垃圾分类,派生科技,12,5
体育概念,西部资源,12,4
准ST股,中远海控,12,2
准ST股,彩虹股份,12,3
准ST股,东方银星,12,4
绿色照明,福日电子,12,2
股权激励,阳光电源,12,2
长株潭,酒鬼酒,12,3
长株潭,三诺生物,12,4
网络游戏,高乐股份,12,3
网络游戏,大唐电信,12,4
智能电网,创元科技,12,5
小米概念,同益股份,12,3
小米概念,广东榕泰,12,4
社保重仓,老白干酒,12,1
空气治理,凯美特气,12,3
武汉规划,中元股份,12,4
武汉规划,南国置业,12,5
保险重仓,百联股份,12,2
上海本地,金枫酒业,12,1
上海本地,丹化科技,12,2
循环经济,怡球资源,12,4
循环经济,豫光金铅,12,5
消费电子,金龙机电,12,3
海南自贸,欣龙控股,12,3
固废处理,豫光金铅,12,5
本月解禁,供销大集,12,1
雄安新区,巨力索具,12,4
雄安新区,京汉股份,12,5
摘帽概念,珠海中富,12,4
摘帽概念,西部创业,12,5
ST板块,山煤国际,12,3
ST板块,京粮控股,12,4
ST板块,合金投资,12,5
军工航天,通裕重工,12,1
苹果概念,锦富技术,12,5
油气改革,杰瑞股份,12,5
充电桩,国轩高科,12,3
安防服务,超华科技,12,2
污水处理,湘潭电化,12,3
科创50,晶丰明源,12,2
整体上市,强生控股,12,3
陕甘宁,莫高股份,11,3
陕甘宁,坚瑞沃能,11,4
电子支付,全通教育,11,4
电子支付,高鸿股份,11,5
3D打印,光韵达,11,3
乡村振兴,一拖股份,11,5
融资融券,一拖股份,11,2
光伏概念,中能电气,11,1
光伏概念,秀强股份,11,2
风能概念,泰胜风能,11,5
黄河三角,青岛中程,11,2
涉矿概念,景峰医药,11,4
特斯拉,隆基股份,11,4
业绩预降,郑州煤电,11,1
节能环保,海南发展,11,3
基金重仓,海正药业,11,3
深圳本地,富奥股份,11,3
无线耳机,星徽精密,11,3
出口退税,熊猫金控,11,5
民营银行,沙钢股份,11,2
民营银行,复星医药,11,3
民营银行,保龄宝,11,4
土地流转,华升股份,11,4
体育概念,艾比森,11,5
准ST股,中航沈飞,11,5
重组概念,西藏药业,11,1
重组概念,金科文化,11,2
重组概念,新力金融,11,3
锂电池,珈伟新能,11,1
抗癌,华北制药,11,2
抗癌,哈高科,11,3
抗癌,海正药业,11,4
核电核能,*ST湘电,11,3
参股金融,君正集团,11,1
绿色照明,澳洋顺昌,11,3
股权激励,力帆股份,11,3
股权激励,青海春天,11,4
触摸屏,*ST东科,11,5
基因概念,广生堂,11,4
券商重仓,丹化科技,11,1
含H股,*ST东电,11,3
含H股,中船防务,11,4
信托重仓,金晶科技,11,1
信托重仓,南国置业,11,2
网络游戏,嘉麟杰,11,5
国企改革,光明乳业,11,5
小米概念,金龙机电,11,5
5G概念,科信技术,11,4
5G概念,宜通世纪,11,5
消费电子,春秋电子,11,4
华为概念,诚迈科技,11,2
低碳经济,泰达股份,11,2
稀缺资源,云南锗业,11,2
稀缺资源,炼石航空,11,3
石墨烯,金城医药,11,3
石墨烯,吉药控股,11,4
海南自贸,雄塑科技,11,4
风能,宁波东力,11,2
本月解禁,经纬辉开,11,2
金融改革,通达股份,11,3
金融改革,铜峰电子,11,4
物联网,北斗星通,11,3
物联网,航天长峰,11,4
军工航天,通光线缆,11,2
军工航天,航天长峰,11,3
页岩气,杰瑞股份,11,4
页岩气,东华能源,11,5
充电桩,科大智能,11,4
生物疫苗,天康生物,11,3
生物疫苗,海正药业,11,4
安防服务,巨星科技,11,3
博彩概念,*ST高升,11,5
污水处理,奥克股份,11,4
污水处理,*ST华仪,11,5
整体上市,轴研科技,11,4
含B股,富奥股份,10,1
含B股,深物业A,10,2
含B股,长虹美菱,10,3
3D打印,宝钛股份,10,4
融资融券,博瑞传播,10,3
融资融券,丹化科技,10,4
黄河三角,通裕重工,10,3
黄河三角,金晶科技,10,4
分拆上市,复星医药,10,4
分拆上市,创元科技,10,5
金融参股,西水股份,10,2
业绩预降,吉峰科技,10,2
军民融合,江龙船艇,10,1
新能源,宁波东力,10,1
无线耳机,漫步者,10,4
民营银行,杉杉股份,10,5
土地流转,新野纺织,10,5
重组概念,联创股份,10,4
锂电池,坚瑞沃能,10,2
抗癌,人福医药,10,5
核电核能,奥 特 迅,10,4
绿色照明,长方集团,10,4
机器人概念,智云股份,10,5
券商重仓,金龙机电,10,2
QFII重仓,海航投资,10,3
QFII重仓,保变电气,10,4
QFII重仓,江淮汽车,10,5
含H股,比亚迪,10,5
长株潭,梦洁股份,10,5
信托重仓,酒鬼酒,10,3
社保重仓,复星医药,10,2
保险重仓,山煤国际,10,3
保险重仓,海正药业,10,4
华为概念,泉阳泉,10,3
华为概念,歌尔股份,10,4
华为概念,科泰电源,10,5
稀缺资源,宏达股份,10,4
石墨烯,博云新材,10,5
海南自贸,神农科技,10,5
风能,永清环保,10,3
风能,新赛股份,10,4
风能,远大智能,10,5
本月解禁,新筑股份,10,3
金融改革,世联行,10,5
充电桩,和顺电气,10,5
生物疫苗,复星医药,10,5
安防服务,鹏博士,10,4
安防服务,航天长峰,10,5
国防军工,银邦股份,10,1
整体上市,中国重汽,10,5
海峡西岸,深南股份,10,3
海峡西岸,富春股份,10,4
含B股,百联股份,9,4
陕甘宁,新日恒力,9,5
3D打印,金运激光,9,5
融资融券,长城汽车,9,5
光伏概念,青岛中程,9,3
金融参股,小商品城,9,3
涉矿概念,双塔食品,9,5
业绩预降,天龙集团,9,3
业绩预降,通裕重工,9,4
业绩预降,天海防务,9,5
军民融合,天海防务,9,2
皖江区域,江淮汽车,9,4
皖江区域,铜峰电子,9,5
深圳本地,深天地Ａ,9,4
深圳本地,德赛电池,9,5
新能源,保变电气,9,2
新能源,长虹美菱,9,3
新能源,精功科技,9,4
无线耳机,亿纬锂能,9,5
含GDR,惠而浦,9,3
锂电池,天齐锂业,9,3
核电核能,科泰电源,9,5
参股金融,*ST力帆,9,2
参股金融,航天长峰,9,3
绿色照明,雪 莱 特,9,5
股权激励,长方集团,9,5
基因概念,达安基因,9,5
券商重仓,吉艾科技,9,3
券商重仓,王府井,9,4
信托重仓,洪都航空,9,4
社保重仓,小商品城,9,3
空气治理,依米康,9,4
空气治理,永清环保,9,5
成渝特区,吉峰科技,9,1
成渝特区,天齐锂业,9,2
保险重仓,国药股份,9,5
