stock_index,stock_date,K,D,macd_5,macd_21
2236,2021-01-27,83.725,76.99600000000001,0.275,1.0979999999999999
786,2021-01-27,83.745,79.555,-0.585,1.99
600309,2021-01-27,85.214,82.743,-0.16,4.016
600989,2021-01-27,85.77,75.454,0.392,0.705
1,2021-01-27,85.84700000000001,79.672,0.081,0.585
600406,2021-01-27,86.006,82.182,0.247,1.0659999999999998
600176,2021-01-27,86.66,85.559,0.006,0.872
603501,2021-01-27,86.786,84.198,-4.664,15.663
601155,2021-01-27,86.92,74.689,1.376,2.358
2493,2021-01-27,87.182,87.95100000000001,0.262,1.4680000000000002
2601,2021-01-27,87.649,81.107,-0.09,1.546
2415,2021-01-27,88.26100000000001,85.615,0.8109999999999999,3.2310000000000003
708,2021-01-27,88.524,84.729,0.031,0.987
600346,2021-01-27,88.64200000000001,87.686,0.075,2.6010000000000004
603392,2021-01-27,89.15799999999999,84.569,2.9539999999999997,21.495
