246,史帝夫尼可洛司股份有限公司,"Stifel Nicolaus & Company, Inc.",美国,花旗银行,2014/1/27
247,职总英康保险合作社有限公司,NTUC Income Insurance Co-operative Limited,新加坡,汇丰银行,2014/1/27
248,Invesco PowerShares资产管理有限公司,Invesco PowerShares Capital Management LLC,美国,建设银行,2014/1/27
249,瑞士再保险私人有限公司,Swiss RE Asia PTE. LTD.,瑞士,花旗银行,2014/1/27
250,Nordea投资管理公司,Nordea Investment Management AB,瑞典,汇丰银行,2014/1/27
251,国票华顿证券投资信托股份有限公司,"Paradigm Asset Management Co., Ltd.",台湾,工商银行,2014/3/11
252,喀斯喀特有限责任公司,"Cascade Investment, L.L.C.",美国,德意志银行,2014/3/11
253,铭基国际投资公司,"Matthews International Capital Management, LLC",美国,汇丰银行,2014/3/12
254,奥本海默基金公司,"Oppenheimer Funds, Inc.",美国,汇丰银行,2014/3/19
255,高观投资有限公司,Overlook Investments Limited,香港,汇丰银行,2014/4/8
256,台新国际商业银行股份有限公司,Taishin International Bank,台湾,建设银行,2014/6/3
257,花旗集团基金管理有限公司,Citigroup First Investment Management Limited,香港,德意志银行,2014/6/16
258,爱斯普乐基金管理公司,"ASSETPLUS Investment Management Co., Ltd.",韩国,花旗银行,2014/7/24
259,彭博家族基金会,The Bloomberg Family Foundation Inc.,美国,汇丰银行,2014/7/25
260,石溪集团,"The Rock Creek Group, LP.",美国,汇丰银行,2014/7/28
261,麻省理工学院,Massachusetts Institute of Technology,美国,汇丰银行,2014/9/19
262,万金全球香港有限公司,Viking Global Hong Kong Limited,香港,花旗银行,2014/9/22
263,高盛国际,Goldman Sachs International,英国,汇丰银行,2014/9/22
264,安盛基金管理有限公司,AXA Fund Management S.A.,卢森堡,汇丰银行,2014/10/8
265,国投瑞银资产管理（香港）有限公司,UBS SDIC Asset Management (Hong Kong) Company Limited,香港,工商银行,2014/12/1
266,工银瑞信资产管理（国际）有限公司,ICBC Credit Suisse Asset Management (International) Company Limited,香港,汇丰银行,2014/12/4
